date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
2025-01-13;Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727459637.0;0.29;1.812;
2025-01-13;Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515193199.0;0.127;1.812;
2025-01-13;Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;460791208.0;0.594;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1150987430.0;0.483;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2255782178.0;4.771;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4431132660.0;8.461;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275170410.0;0.233;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779999989.0;1.719;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1198936529.0;0.125;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1090134379.0;0.877;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1023538460.0;0.921;18.184;
2025-01-13;Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;370735677.0;0.342;1.737;
2025-01-13;Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1286616979.0;1.395;1.737;
2025-01-13;Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;455988366.0;0.279;2.378;
2025-01-13;Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4779395040.0;0.544;2.378;
2025-01-13;Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1145289019.0;1.555;2.378;
2025-01-13;Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389635155.0;0.068;0.814;
2025-01-13;Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;540206440.0;0.746;0.814;
2025-01-13;Telecomunicação;VIVT3;TELEF BRASIL;ON;382442128.0;0.927;1.504;
2025-01-13;Telecomunicação;TIMS3;TIM;ON      NM;807495418.0;0.577;1.504;
2025-01-13;Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683508568.0;3.095;3.095;
2025-01-13;Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323738747.0;0.132;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1858636840.0;1.006;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1679233590.0;0.76;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538.0;0.307;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1977170723.0;3.49;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268875696.0;0.523;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326175300.0;0.616;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1929556616.0;1.066;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255236938.0;0.461;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1249258717.0;1.754;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395801044.0;0.462;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218568234.0;0.37;10.947;
