IBOV - Carteira do Dia 11/11/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;798.909.771;1,479;17,180;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,152;17,180;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,063;17,180;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.023.392.529;1,091;17,180;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.310.634;0,407;1,954;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,547;1,954;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;464.420.650;0,300;2,584;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,724;2,584;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.145.289.019;1,560;2,584;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;420.626.825;0,086;0,878;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;540.206.440;0,792;0,878;
Telecomunicação;VIVT3;TELEF BRASIL;ON;407.257.128;1,006;1,616;
Telecomunicação;TIMS3;TIM;ON      NM;807.495.418;0,610;1,616;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683.508.570;2,902;2,902;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;291.727.616;0,141;10,564;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.858.636.840;0,997;10,564;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,748;10,564;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,289;10,564;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.780.013.881;3,013;10,564;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,513;10,564;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.175.300;0,639;10,564;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.808.392.799;1,057;10,564;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,488;10,564;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.244.602.400;1,858;10,564;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,363;10,564;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,458;10,564;
Quantidade Teórica Total;;;;96.112.444.798;100,000;100,000
Redutor;;;;16.469.267,52299839
